measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,268,30,2,10,4,245.4,245,M,1333.00000,1.30000,7.34000,1.00000,5.52000,0.00000,0.00000,8.64000,5.52000,14.16000,0.63889,39.20000,38.10000,-0.96250,59.90000,12.71667,66.70000,6.80000,72.80000,7.11667,93.10000,20.30000
physiology,39,30,2,10,5,200.5,200,D,2714.30000,5.20000,5.11000,1.00000,17.54000,0.00000,0.00000,10.31000,17.54000,27.85000,1.70126,40.20000,42.80000,2.27500,44.00000,0.70000,48.00000,4.00000,49.80000,2.10000,56.00000,6.20000
physiology,233,30,2,10,6,231.5,231,M,1572.90000,1.43000,9.19000,1.00000,7.20000,0.00000,0.00000,10.62000,7.20000,17.82000,0.67797,43.70000,28.50000,-13.30000,31.50000,1.75000,47.40000,15.90000,43.30000,-4.78333,70.60000,27.30000
physiology,236,30,2,10,7,231.6,231,M,1729.70000,1.83000,5.31000,1.00000,4.38000,1.10000,1.00000,7.14000,5.48000,12.62000,0.76751,41.00000,35.50000,-4.81250,46.30000,6.30000,56.30000,10.00000,63.90000,8.86667,70.10000,6.20000
physiology,181,10,3,11,1,193.1,193,T,1917.60000,8.47000,0.00000,0.00000,7.99000,0.00000,0.00000,8.47000,7.99000,16.46000,0.94333,36.60000,50.20000,11.90000,61.10000,6.35833,70.80000,9.70000,82.20000,13.30000,109.00000,26.80000
physiology,152,10,3,11,2,184.2,184,F,1704.20000,7.80000,0.00000,0.00000,7.70000,3.10000,1.00000,7.80000,10.80000,18.60000,1.38462,35.50000,38.60000,2.71250,38.40000,-0.11667,41.10000,2.70000,48.30000,8.40000,56.10000,7.80000
physiology,160,10,3,11,3,153.2,153,R,1807.20000,7.25000,0.00000,0.00000,10.32000,16.00000,1.00000,7.25000,26.32000,33.57000,3.63034,35.60000,32.10000,-3.06250,45.20000,7.64167,51.10000,5.90000,54.00000,3.38333,66.00000,12.00000
physiology,297,10,3,11,4,296.2,296,I,593.20000,5.64000,0.00000,0.00000,3.79000,0.40000,1.00000,5.64000,4.19000,9.83000,0.74291,31.80000,38.40000,5.77500,46.30000,4.60833,48.30000,2.00000,51.80000,4.08333,52.70000,0.90000
physiology,211,10,3,11,5,176.4,176,T,1406.30000,5.33000,0.00000,0.00000,5.31000,12.00000,1.00000,5.33000,17.31000,22.64000,3.24765,38.20000,25.30000,-11.28750,30.30000,2.91667,43.80000,13.50000,49.30000,6.41667,60.40000,11.10000
physiology,147,10,3,11,6,153.5,153,R,581.80000,5.45000,0.00000,0.00000,7.69000,11.60000,1.00000,5.45000,19.29000,24.74000,3.53945,36.00000,36.40000,0.35000,44.00000,4.43333,53.60000,9.60000,62.70000,10.61667,76.60000,13.90000
