"","obs","pot","geno","trt","combo","rep","measure","SM","Bv","Br","DMCv","DMCr","B_A","SLA","LA","Rl","Rsa","Rd","Rv","Rt","Rsa_la","srl","ssa"
"64",4571,35,2,30,10,1,"biomass",2057.6,1.249,1.7654,0.28592,0.0926,1.41345,238.71429,269.74714,9038.41637,952.33997,0.3354,7.97152,27841.99119,3.53049,5119.75551,539.44714
"65",4626,90,2,30,10,2,"biomass",2470.2,0.7749,1.0105,0.29347,0.10439,1.30404,202.57677,141.80374,8439.30428,682.02013,0.2572,4.39131,28418.75309,4.80961,8351.61235,674.93333
"66",4699,163,2,30,10,3,"biomass",1203.1,1.3774,1.5532,0.30061,0.10703,1.12763,225.90679,266.57001,13892.06656,1058.86461,0.2426,6.41432,48734.10759,3.97218,8944.15823,681.73101
"67",4722,186,2,30,10,4,"biomass",1839.3,1.3319,1.431,0.28291,0.11216,1.0744,220.34875,264.4185,11125.97311,882.15174,0.2524,5.56675,32944.45055,3.3362,7774.96374,616.45824
"68",4739,203,2,30,10,5,"biomass",950.1,2.5813,3.8727,0.28727,0.15026,1.50029,209.89425,510.04303,31895.09715,2491.18309,0.2486,15.49834,106263.5696,4.88426,8235.88121,643.26777
"69",4780,244,2,30,10,6,"biomass",4980.8,1.2099,NA,0.25787,NA,NA,244.94579,266.99091,7298.10565,469.99729,0.205,2.41265,27249.44988,1.76035,NA,NA
"70",4857,321,2,30,10,7,"biomass",1520,1.2347,1.6143,0.28175,0.08932,1.30744,239.02165,265.31403,18322.73499,1450.64351,0.252,9.14649,64717.76072,5.46765,11350.26636,898.62077
"71",4590,54,3,10,11,1,"biomass",782.1,0.5611,0.8896,0.47786,0.14205,1.58546,173.40321,83.23354,8759.37823,648.57651,0.2357,3.82215,18350.79397,7.79225,9846.42337,729.06533
"72",4682,146,3,10,11,2,"biomass",1862.9,0.6703,1.1993,0.40743,0.17527,1.7892,191.11388,105.11264,11464.77886,784.95327,0.2179,4.27074,30311.53527,7.46773,9559.55879,654.50952
"73",4730,194,3,10,11,3,"biomass",1199.6,0.9037,1.5083,0.78926,0.14883,1.66903,175.58341,140.46673,8933.07382,741.44343,0.2642,4.90276,27667.78054,5.27843,5922.61077,491.57557
"74",4748,212,3,10,11,4,"biomass",1729,0.8249,0.782,0.41647,0.10243,0.94799,164.17281,119.84615,7959.64844,530.17924,0.212,2.81148,16496.47619,4.42383,10178.57857,677.97857
"75",4761,225,3,10,11,5,"biomass",2085.9,1.1445,1.8942,0.36129,0.17229,1.65505,168.57364,182.05953,11550.75406,928.302,0.2558,5.9263,28523.77193,5.09889,6097.95907,490.07602
"76",4819,283,3,10,11,6,"biomass",551.9,0.4832,0.8156,0.39291,0.14343,1.68791,165.49279,66.19712,5094.43857,467.3256,0.292,3.41789,10385.69784,7.05961,6246.2464,572.98381
"77",4854,318,3,10,11,7,"biomass",1493,0.6893,1.0682,0.3853,0.14424,1.54969,190.16227,121.70385,9471.20983,697.55519,0.2344,4.09356,21412.44444,5.73158,8866.51361,653.01927
"78",4555,19,3,15,12,1,"biomass",693.7,1.1111,1.748,0.3373,0.10054,1.57322,221.8332,219.61486,25281.14434,1713.42035,0.2157,9.24174,76831.07407,7.80193,14462.89722,980.21759
"79",4596,60,3,15,12,2,"biomass",2429,1.8614,2.2779,0.35108,0.11014,1.22376,218.14596,383.93688,38902.586,2383.23419,0.195,11.60588,131087.4404,6.20736,17078.2677,1046.2418
"80",4666,130,3,15,12,3,"biomass",1559.4,1.2133,1.7861,0.30837,0.12429,1.4721,232.31365,257.86815,17852.60247,1516.85561,0.2705,10.25209,36675.27996,5.88229,9995.2984,849.2557
"81",4678,142,3,15,12,4,"biomass",277.1,0.7125,1.1652,0.2684,0.11872,1.63537,211.24848,133.08655,17674.42405,1207.38301,0.2174,6.56581,51231.80952,9.07216,15168.57539,1036.20238
"82",4768,232,3,15,12,5,"biomass",1132.6,1.5667,1.9539,0.29505,0.12905,1.24714,231.78618,345.36141,15872.77501,1224.00598,0.2455,7.5089,32097.89716,3.54413,8123.63735,626.44249
"83",4801,265,3,15,12,6,"biomass",1126.2,1.9804,2.2235,0.33053,0.154,1.12275,220.39867,409.94153,31442.52597,2086.99372,0.2113,11.0136,96046.88785,5.09095,14141.00561,938.60748
"84",4805,269,3,15,12,7,"biomass",2233.9,2.4425,2.8712,0.31266,0.10972,1.17552,233.66061,551.43903,24992.12272,1945.73396,0.2478,12.05841,67882.01325,3.52847,8704.41722,677.67274
"85",4611,75,3,20,13,1,"biomass",3470.5,3.006,3.7444,0.28072,0.12588,1.24564,230.80822,660.11151,34880.4594,3054.72889,0.2788,21.29571,85228.3747,4.6276,9315.36679,815.81265
"86",4625,89,3,20,13,2,"biomass",1278.8,2.3017,2.5951,0.27683,0.10451,1.12747,237.79829,511.26632,12937.81238,1230.00645,0.3026,9.30525,35147.09569,2.4058,4985.47739,473.97266
"87",4806,270,3,20,13,3,"biomass",1486.5,3.6883,3.8214,0.2846,0.11355,1.03609,234.45718,829.97842,46510.53448,3399.80442,0.2327,19.77612,159324.1284,4.09626,12171.07198,889.6751
"88",4808,272,3,20,13,4,"biomass",1227.5,2.8283,2.8674,0.26622,0.09358,1.01382,221.61616,589.49899,38084.77016,2750.62062,0.2299,15.80245,130620.5724,4.66603,13281.98722,959.27342
"89",4823,287,3,20,13,5,"biomass",982,2.7406,2.9586,0.26916,0.0968,1.07954,258.42466,666.73562,36549.77026,2729.14754,0.2377,16.24931,105390.544,4.0933,12353.73834,922.4456
"90",4827,291,3,20,13,6,"biomass",1293.5,3.155,3.2571,0.27715,0.11062,1.03236,253.11429,771.99857,36269.39477,2734.4623,0.24,16.40082,129899.6058,3.54206,11135.48702,839.53895
"91",4836,300,3,20,13,7,"biomass",378.5,1.8006,2.2876,0.27336,0.11559,1.27047,253.60492,413.37603,17856.85253,1651.0753,0.2943,12.13959,41457.43494,3.99412,7805.93309,721.75
"92",4603,67,3,25,14,1,"biomass",1553.5,2.8246,3.3718,0.25429,0.11921,1.19373,278.66774,752.40289,20836.2695,2108.86991,0.3222,16.96919,73276.04575,2.80285,6179.56863,625.44336
"93",4617,81,3,25,14,2,"biomass",1314.4,3.3292,3.6442,0.25984,0.11309,1.09462,233.34799,739.71313,20219.37719,2185.28783,0.344,18.78583,67988.80597,2.95424,5548.37199,599.66188
"94",4645,109,3,25,14,3,"biomass",280.5,1.5307,1.4365,0.22962,0.0951,0.93846,278.64954,392.89586,NA,NA,NA,NA,NA,NA,NA,NA
