obs,pot,geno,trt,combo,rep,measure,SM,Bv,Br,DMCv,DMCr,B_A,SLA,LA,Rl,Rsa,Rd,Rv,Rt,Rsa_la,srl,ssa
4857,321,2,30,10,7,biomass,1520.00000,1.23470,1.61430,0.28175,0.08932,1.30744,239.02165,265.31403,18322.73499,1450.64351,0.25200,9.14649,64717.76072,5.46765,11350.26636,898.62077
4590,54,3,10,11,1,biomass,782.10000,0.56110,0.88960,0.47786,0.14205,1.58546,173.40321,83.23354,8759.37823,648.57651,0.23570,3.82215,18350.79397,7.79225,9846.42337,729.06533
4682,146,3,10,11,2,biomass,1862.90000,0.67030,1.19930,0.40743,0.17527,1.78920,191.11388,105.11264,11464.77886,784.95327,0.21790,4.27074,30311.53527,7.46773,9559.55879,654.50952
4730,194,3,10,11,3,biomass,1199.60000,0.90370,1.50830,0.78926,0.14883,1.66903,175.58341,140.46673,8933.07382,741.44343,0.26420,4.90276,27667.78054,5.27843,5922.61077,491.57557
4748,212,3,10,11,4,biomass,1729.00000,0.82490,0.78200,0.41647,0.10243,0.94799,164.17281,119.84615,7959.64844,530.17924,0.21200,2.81148,16496.47619,4.42383,10178.57857,677.97857
4761,225,3,10,11,5,biomass,2085.90000,1.14450,1.89420,0.36129,0.17229,1.65505,168.57364,182.05953,11550.75406,928.30200,0.25580,5.92630,28523.77193,5.09889,6097.95907,490.07602
4819,283,3,10,11,6,biomass,551.90000,0.48320,0.81560,0.39291,0.14343,1.68791,165.49279,66.19712,5094.43857,467.32560,0.29200,3.41789,10385.69784,7.05961,6246.24640,572.98381
4854,318,3,10,11,7,biomass,1493.00000,0.68930,1.06820,0.38530,0.14424,1.54969,190.16227,121.70385,9471.20983,697.55519,0.23440,4.09356,21412.44444,5.73158,8866.51361,653.01927
4555,19,3,15,12,1,biomass,693.70000,1.11110,1.74800,0.33730,0.10054,1.57322,221.83320,219.61486,25281.14434,1713.42035,0.21570,9.24174,76831.07407,7.80193,14462.89722,980.21759
4596,60,3,15,12,2,biomass,2429.00000,1.86140,2.27790,0.35108,0.11014,1.22376,218.14596,383.93688,38902.58600,2383.23419,0.19500,11.60588,131087.44040,6.20736,17078.26770,1046.24180
4666,130,3,15,12,3,biomass,1559.40000,1.21330,1.78610,0.30837,0.12429,1.47210,232.31365,257.86815,17852.60247,1516.85561,0.27050,10.25209,36675.27996,5.88229,9995.29840,849.25570
4678,142,3,15,12,4,biomass,277.10000,0.71250,1.16520,0.26840,0.11872,1.63537,211.24848,133.08655,17674.42405,1207.38301,0.21740,6.56581,51231.80952,9.07216,15168.57539,1036.20238
4768,232,3,15,12,5,biomass,1132.60000,1.56670,1.95390,0.29505,0.12905,1.24714,231.78618,345.36141,15872.77501,1224.00598,0.24550,7.50890,32097.89716,3.54413,8123.63735,626.44249
4801,265,3,15,12,6,biomass,1126.20000,1.98040,2.22350,0.33053,0.15400,1.12275,220.39867,409.94153,31442.52597,2086.99372,0.21130,11.01360,96046.88785,5.09095,14141.00561,938.60748
4805,269,3,15,12,7,biomass,2233.90000,2.44250,2.87120,0.31266,0.10972,1.17552,233.66061,551.43903,24992.12272,1945.73396,0.24780,12.05841,67882.01325,3.52847,8704.41722,677.67274
4611,75,3,20,13,1,biomass,3470.50000,3.00600,3.74440,0.28072,0.12588,1.24564,230.80822,660.11151,34880.45940,3054.72889,0.27880,21.29571,85228.37470,4.62760,9315.36679,815.81265
4625,89,3,20,13,2,biomass,1278.80000,2.30170,2.59510,0.27683,0.10451,1.12747,237.79829,511.26632,12937.81238,1230.00645,0.30260,9.30525,35147.09569,2.40580,4985.47739,473.97266
4806,270,3,20,13,3,biomass,1486.50000,3.68830,3.82140,0.28460,0.11355,1.03609,234.45718,829.97842,46510.53448,3399.80442,0.23270,19.77612,159324.12840,4.09626,12171.07198,889.67510
4808,272,3,20,13,4,biomass,1227.50000,2.82830,2.86740,0.26622,0.09358,1.01382,221.61616,589.49899,38084.77016,2750.62062,0.22990,15.80245,130620.57240,4.66603,13281.98722,959.27342
4823,287,3,20,13,5,biomass,982.00000,2.74060,2.95860,0.26916,0.09680,1.07954,258.42466,666.73562,36549.77026,2729.14754,0.23770,16.24931,105390.54400,4.09330,12353.73834,922.44560
