,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
"Y[6]","urgr","no_descr","posterior value",0.441717563246165,0.160741393997647,0.33462560080595,0.548355470847813,0.130099097462941,0.756381809628347,1.00001560994996,"G2","10",1
"Y[7]","urgr","no_descr","posterior value",1.07654105065055,0.167345868696977,0.96440518142086,1.18974855460997,0.745084220690282,1.4026544200332,0.999909407411213,"G2","15",1
"Y[8]","urgr","no_descr","posterior value",3.1742735501196,0.167878879880312,3.06151461065561,3.28595487232425,2.8444406314615,3.50241307723268,0.999859979329091,"G2","20",1
"Y[9]","urgr","no_descr","posterior value",3.54661941822563,0.167924716368673,3.43290555441665,3.65971670360262,3.21635608230347,3.87778139641079,0.999871885864971,"G2","25",1
"Y[10]","urgr","no_descr","posterior value",2.32204071654055,0.16963195167409,2.20631753175761,2.43725879881575,1.99322163793912,2.65357373590453,0.999924565646295,"G2","Sat'd",1
"Y[11]","urgr","no_descr","posterior value",0.286106278259503,0.166856371798097,0.174386548794004,0.400154365264656,-0.0406299270038552,0.611281447730366,1.00007493081065,"G5","10",0.94
"Y[12]","urgr","no_descr","posterior value",0.507998540940474,0.16960040380133,0.394642909743202,0.623527554267843,0.173778159050099,0.841079706960881,0.999817537353972,"G5","15",1
"Y[13]","urgr","no_descr","posterior value",1.48369460200763,0.167361982016381,1.37232557001416,1.59602513281896,1.15375149487722,1.81255954161811,1.0001711057074,"G5","20",1
"Y[14]","urgr","no_descr","posterior value",1.46946207543495,0.167981752107522,1.3543267715181,1.58317263795535,1.14321933804646,1.80012206051109,1.00031256433619,"G5","25",1
"Y[15]","urgr","no_descr","posterior value",0.678297581438204,0.16641036314709,0.565408153105684,0.789585456183906,0.355332934057621,1.00602811375435,0.999907497929275,"G5","Sat'd",1
"b[1]","max_H","(Intercept)","beta",22.7548776156271,0.837160782159851,22.1810107992429,23.319061705355,21.1356126736274,24.4086540212917,1.00043496100107,"none","none",1
"b[2]","max_H","(trt)15","beta",2.36626786880324,1.05413443550763,1.6485045038687,3.08921433658656,0.320497228483714,4.43041184040358,1.00006641674805,"none","none",1
"b[3]","max_H","(trt)20","beta",14.3158145368216,1.17795507026373,13.5236630210154,15.1141519643142,11.9520805940786,16.5812338404113,1.00006562389837,"none","none",1
"b[4]","max_H","(trt)25","beta",15.3289711043363,1.24443383661178,14.5126408509362,16.1744513685516,12.8242685037124,17.7003857308521,1.00013290784011,"none","none",1
"b[5]","max_H","(trt)30","beta",6.38052652031346,1.17650877177687,5.60333638014686,7.17482256426189,4.04436382678772,8.6724796490472,1.00036741712297,"none","none",1
