,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
b[14],A_B,(trt)25:(geno)5,beta,-0.29338663,0.126049235,-0.375379748,-0.209346828,-0.544846322,-0.048249915,1.000845287,none,none,1
b[15],A_B,(trt)30:(geno)5,beta,-0.193126211,0.127242757,-0.277130425,-0.107899153,-0.448088756,0.052534236,1.000649871,none,none,0.9
G_E[1],A_B,no_descr,G11[R]-G2[R],-0.024108203,0.059901165,-0.064618138,0.016293023,-0.143144148,0.093683916,1.000003564,none,none,0.6
G_E[2],A_B,no_descr,G11[R]-G5,-0.182529745,0.059523527,-0.22218467,-0.142134852,-0.29890848,-0.067733172,1.000128619,none,none,1
G_E[3],A_B,no_descr,G2[R]-G5,-0.158421542,0.059964285,-0.197869234,-0.118803392,-0.278151967,-0.041466112,0.999879415,none,none,1
T_E[1],A_B,no_descr,trt_effect,0.483164734,0.091225632,0.419711871,0.540768158,0.319409625,0.678541413,1.001425063,none,none,1
I_E[1],A_B,no_descr,int_effect,-0.122015183,0.107715288,-0.191195789,-0.050370962,-0.346038924,0.082907162,1.001334723,none,none,0.81
Y[1],A_B,no_descr,posterior value,0.462536456,0.03975536,0.436176003,0.489391573,0.382640866,0.538779493,1.001336227,G11,10,1
Y[2],A_B,no_descr,posterior value,0.592956734,0.042029809,0.56606417,0.621039134,0.509096767,0.674456153,0.999937617,G11,15,1
Y[3],A_B,no_descr,posterior value,0.724824089,0.042157395,0.697201852,0.75317109,0.640174415,0.806016544,1.00018164,G11,20,1
Y[4],A_B,no_descr,posterior value,0.898680769,0.042778934,0.870659062,0.927773236,0.812261288,0.98038186,0.999905775,G11,25,1
Y[5],A_B,no_descr,posterior value,0.811808699,0.041701798,0.784144323,0.839735519,0.728062821,0.893669639,0.999977683,G11,Sat'd,1
Y[6],A_B,no_descr,posterior value,0.476567732,0.041349853,0.449279934,0.504501594,0.394270079,0.556191596,0.999933434,G2,10,1
Y[7],A_B,no_descr,posterior value,0.55166604,0.041097595,0.524031272,0.579879258,0.468366428,0.630447144,0.999933296,G2,15,1
Y[8],A_B,no_descr,posterior value,0.748932292,0.04264766,0.720855494,0.777830075,0.663397335,0.83085868,0.9998279,G2,20,1
Y[9],A_B,no_descr,posterior value,0.834036019,0.042242382,0.806243258,0.862267034,0.748357067,0.916770346,0.999987329,G2,25,1
Y[10],A_B,no_descr,posterior value,0.787016803,0.046381066,0.756505961,0.818286263,0.694800081,0.876603799,0.999966416,G2,Sat'd,1
Y[11],A_B,no_descr,posterior value,0.652304085,0.04229991,0.624836668,0.680962057,0.567173718,0.732282606,1.000127998,G5,10,1
Y[12],A_B,no_descr,posterior value,0.753947567,0.042403597,0.725816296,0.782931857,0.669203552,0.83699739,1.000004972,G5,15,1
Y[13],A_B,no_descr,posterior value,0.907353834,0.0422279,0.879182796,0.935941945,0.823994714,0.990697619,1.00003985,G5,20,1
Y[14],A_B,no_descr,posterior value,0.94652569,0.041915953,0.918851195,0.975149273,0.862056214,1.028269668,1.000186863,G5,25,1
Y[15],A_B,no_descr,posterior value,0.94504251,0.042276123,0.91720403,0.973510273,0.859763504,1.026716465,1.000038786,G5,Sat'd,1
b[1],SLA,(Intercept),beta,5.178603941,0.036022763,5.154894099,5.203360694,5.106019787,5.246414995,1.00022348,none,none,1
b[2],SLA,(trt)15,beta,0.24438488,0.046034041,0.214143232,0.274798483,0.1531483,0.335213911,1.00042958,none,none,1
b[3],SLA,(trt)20,beta,0.238545526,0.045945654,0.207997514,0.268815764,0.149499272,0.329811102,1.000552651,none,none,1
b[4],SLA,(trt)25,beta,0.204373733,0.046415625,0.17346331,0.235227509,0.112832839,0.295880037,1.000154165,none,none,1
b[5],SLA,(trt)30,beta,0.333458968,0.043989281,0.303759896,0.362205399,0.248037646,0.421700876,1.000042928,none,none,1
b[6],SLA,(geno)2,beta,-0.034838984,0.051569077,-0.069360128,-0.000607219,-0.137431143,0.06681749,1.000200258,none,none,0.67
b[7],SLA,(geno)5,beta,-0.007745734,0.050796316,-0.041840789,0.026125741,-0.107389333,0.092588002,1.000174862,none,none,0.54
b[8],SLA,(trt)15:(geno)2,beta,-0.090488815,0.067204812,-0.135051509,-0.04539238,-0.224738391,0.042757394,1.000331145,none,none,0.84
b[9],SLA,(trt)20:(geno)2,beta,-0.057973584,0.066443003,-0.101719446,-0.013723413,-0.189180248,0.072030327,1.000274492,none,none,0.72
b[10],SLA,(trt)25:(geno)2,beta,-0.033589789,0.066764967,-0.077818673,0.011029535,-0.164638474,0.098118608,1.000029778,none,none,0.63
b[11],SLA,(trt)30:(geno)2,beta,-0.057759116,0.064092775,-0.100463706,-0.014519036,-0.183313998,0.067807132,1.000054327,none,none,0.73
b[12],SLA,(trt)15:(geno)5,beta,-0.000191122,0.065300408,-0.043259188,0.042991534,-0.128972699,0.128865276,1.000317138,none,none,0.5
b[13],SLA,(trt)20:(geno)5,beta,0.077825578,0.064178466,0.034626067,0.121483717,-0.046904821,0.203129006,1.000128992,none,none,0.81
b[14],SLA,(trt)25:(geno)5,beta,0.148024676,0.063806685,0.105186215,0.190472541,0.023796445,0.274816533,1.000070099,none,none,1
b[15],SLA,(trt)30:(geno)5,beta,-0.024358906,0.06243343,-0.066606854,0.018108871,-0.147186602,0.097310184,1.000009905,none,none,0.6
G_E[1],SLA,no_descr,G11[R]-G2[R],19.95855278,8.971796732,13.94576347,25.97432434,2.346347742,37.47922476,0.99996156,none,none,1
G_E[2],SLA,no_descr,G11[R]-G5,-16.34350996,9.096343159,-22.46751921,-10.16897959,-34.14317634,1.622528662,0.999900285,none,none,0.95
G_E[3],SLA,no_descr,G2[R]-G5,-36.30206273,8.999338531,-42.36335889,-30.26986332,-53.893382,-18.44014919,0.999892973,none,none,1
